,Unnamed: 0,date,song_ranking,song_name,song_artist,peakPos,lastPos,weeks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalnes,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_id,artist_genres,artist_followers,artist_popularity
22057,57,2018-05-01,58,No Excuses,Meghan Trainor,46,53,8,0.8270000000000001,0.6579999999999999,6.0,-3.846,1.0,0.0517,0.0224,0.0,0.0417,0.523,115.016,audio_features,7fCNUWi6uflDTQ08srxMZk,spotify:track:7fCNUWi6uflDTQ08srxMZk,https://api.spotify.com/v1/tracks/7fCNUWi6uflDTQ08srxMZk,https://api.spotify.com/v1/audio-analysis/7fCNUWi6uflDTQ08srxMZk,152862.0,4.0,,,,
22058,58,2018-05-01,59,Love Lies,Khalid & Normani,43,54,10,0.708,0.648,6.0,-5.626,1.0,0.0449,0.0956,0.0,0.134,0.33799999999999997,143.955,audio_features,45Egmo7icyopuzJN0oMEdk,spotify:track:45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk,201707.0,4.0,,,,
22059,59,2018-05-01,60,Bartier Cardi,Cardi B Featuring 21 Savage,14,40,18,0.9079999999999999,0.524,1.0,-7.955,1.0,0.18100000000000002,0.0011099999999999999,0.000678,0.38299999999999995,0.109,138.015,audio_features,0dIoGTQXDh1wVnhIiSyYEa,spotify:track:0dIoGTQXDh1wVnhIiSyYEa,https://api.spotify.com/v1/tracks/0dIoGTQXDh1wVnhIiSyYEa,https://api.spotify.com/v1/audio-analysis/0dIoGTQXDh1wVnhIiSyYEa,224285.0,4.0,,,,
22060,60,2018-05-01,61,New Freezer,Rich The Kid Featuring Kendrick Lamar,41,52,13,0.884,0.698,0.0,-9.101,1.0,0.364,0.0405,0.0,0.195,0.575,140.06799999999998,audio_features,2EgB4n6XyBsuNUbuarr4eG,spotify:track:2EgB4n6XyBsuNUbuarr4eG,https://api.spotify.com/v1/tracks/2EgB4n6XyBsuNUbuarr4eG,https://api.spotify.com/v1/audio-analysis/2EgB4n6XyBsuNUbuarr4eG,191938.0,4.0,,,,
22061,61,2018-05-01,62,Most People Are Good,Luke Bryan,43,43,13,0.586,0.732,8.0,-6.171,1.0,0.0279,0.17600000000000002,0.0,0.14800000000000002,0.5820000000000001,150.109,audio_features,79LAFAkR1ATb4iIQvZuCL0,spotify:track:79LAFAkR1ATb4iIQvZuCL0,https://api.spotify.com/v1/tracks/79LAFAkR1ATb4iIQvZuCL0,https://api.spotify.com/v1/audio-analysis/79LAFAkR1ATb4iIQvZuCL0,221801.0,4.0,,,,
22062,62,2018-05-01,63,Tequila,Dan + Shay,57,57,7,0.489,0.581,11.0,-5.731,1.0,0.0281,0.0312,0.0,0.132,0.494,86.016,audio_features,42fw0rxRO2xbesF6mJfd4Y,spotify:track:42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/tracks/42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/audio-analysis/42fw0rxRO2xbesF6mJfd4Y,196747.0,4.0,,,,
22063,63,2018-05-01,64,One Kiss,Calvin Harris & Dua Lipa,62,64,3,0.7909999999999999,0.862,9.0,-3.24,0.0,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847.0,4.0,,,,
22064,64,2018-05-01,65,Say Something,Justin Timberlake Featuring Chris Stapleton,9,41,13,0.7070000000000001,0.632,10.0,-7.031000000000001,1.0,0.0789,0.10300000000000001,1.09e-05,0.0841,0.37200000000000005,97.04,audio_features,09ts3GnICqYEU5PkQCpJK3,spotify:track:09ts3GnICqYEU5PkQCpJK3,https://api.spotify.com/v1/tracks/09ts3GnICqYEU5PkQCpJK3,https://api.spotify.com/v1/audio-analysis/09ts3GnICqYEU5PkQCpJK3,278893.0,4.0,,,,
22065,65,2018-05-01,66,Everyday,Logic & Marshmello,29,63,8,0.667,0.741,1.0,-4.099,1.0,0.0378,0.0425,0.0,0.0761,0.42200000000000004,149.908,audio_features,4EAV2cKiqKP5UPZmY6dejk,spotify:track:4EAV2cKiqKP5UPZmY6dejk,https://api.spotify.com/v1/tracks/4EAV2cKiqKP5UPZmY6dejk,https://api.spotify.com/v1/audio-analysis/4EAV2cKiqKP5UPZmY6dejk,204747.0,4.0,,,,
22066,66,2018-05-01,67,Singles You Up,Jordan Davis,50,59,12,0.491,0.907,7.0,-3.594,1.0,0.0481,0.0491,0.0,0.242,0.631,199.94299999999998,audio_features,4LiMQ6G9n84rDUBs9wtwz6,spotify:track:4LiMQ6G9n84rDUBs9wtwz6,https://api.spotify.com/v1/tracks/4LiMQ6G9n84rDUBs9wtwz6,https://api.spotify.com/v1/audio-analysis/4LiMQ6G9n84rDUBs9wtwz6,182667.0,4.0,,,,
